Total Time,Combine Time,LLM Matching Time,String Matching Time,Metric,Threshold
24.286189079284668,0.006700038909912109,17.110257863998413,4.418899297714233,Jaccard,0.6
26.202315092086792,0.006674051284790039,19.039970874786377,4.409527063369751,Jaccard,0.7
34.112019062042236,0.006661891937255859,26.988948106765747,4.384454965591431,Jaccard,0.8
24.503591060638428,0.00680994987487793,17.386536121368408,4.406831979751587,Jaccard,0.9
24.177392959594727,0.009627819061279297,17.71662735939026,3.5592849254608154,Levenshtein,0.6
24.27932381629944,0.009714841842651367,17.99571418762207,3.511323928833008,Levenshtein,0.7
23.662670612335205,0.009969949722290039,17.39719295501709,3.523635149002075,Levenshtein,0.8
33.5755078792572,0.009826898574829102,27.31414008140564,3.548233985900879,Levenshtein,0.9
22.017423152923584,0.00731205940246582,17.801700830459595,1.4477229118347168,Cosine,0.6
23.118200063705444,0.0054929256439208984,18.910635948181152,1.4578042030334473,Cosine,0.7
22.69925594329834,0.005616903305053711,18.497406005859375,1.4546382427215576,Cosine,0.8
24.16196298599243,0.005796909332275391,19.93763303756714,1.488481044769287,Cosine,0.9
22.737353801727295,0.008396148681640625,18.1817409992218,1.7316298484802246,TF-IDF,0.6
25.428396224975586,0.008351802825927734,20.889051914215088,1.7259771823883057,TF-IDF,0.7
25.340209245681763,0.008544206619262695,20.840180158615112,1.7275667190551758,TF-IDF,0.8
21.90791964530945,0.009267330169677734,17.4079008102417,1.7507789134979248,TF-IDF,0.9
